created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2019-05-27 22:18:01 UTC,1,0,0,0,0,0,0,28,322,,,,
2019-05-27 22:18:18 UTC,2,0,0,0,0,0,0,28,510,,,,
2019-05-27 22:18:35 UTC,3,0,1,1,0,1,1,28,545,,,,
2019-05-27 22:18:51 UTC,4,1,2,2,1,2,2,28,499,,,,
2019-05-27 22:19:07 UTC,5,1,2,2,1,2,2,28,577,,,,
2019-05-27 22:19:23 UTC,6,2,3,4,2,3,4,28,653,,,,
2019-05-27 22:19:38 UTC,7,2,2,2,2,2,2,28,553,,,,
2019-05-27 22:19:54 UTC,8,2,2,3,2,2,3,28,682,,,,
2019-05-27 22:20:09 UTC,9,2,2,2,2,2,2,28,619,,,,
2019-05-27 22:20:25 UTC,10,2,3,3,2,3,3,28,674,,,,
2019-05-27 22:20:40 UTC,11,2,2,2,2,2,2,28,610,,,,
2019-05-27 22:20:56 UTC,12,2,4,4,2,4,4,28,19712,,,,
2019-05-27 22:21:11 UTC,13,2,3,3,2,3,3,28,642,,,,
2019-05-27 22:21:27 UTC,14,2,2,2,2,2,2,28,633,,,,
2019-05-27 22:21:43 UTC,15,1,2,2,1,2,2,28,604,,,,
2019-05-27 22:21:58 UTC,16,1,2,2,1,2,2,28,549,,,,
2019-05-27 22:22:14 UTC,17,2,3,3,2,3,3,28,714,,,,
2019-05-27 22:22:29 UTC,18,2,2,2,2,2,2,28,605,,,,
2019-05-27 22:22:45 UTC,19,2,2,2,2,2,2,28,664,,,,
2019-05-27 22:23:00 UTC,20,2,3,3,2,3,3,28,772,,,,
2019-05-27 22:23:16 UTC,21,2,3,3,2,3,3,28,766,,,,
2019-05-27 22:23:31 UTC,22,2,3,3,2,3,3,28,658,,,,
2019-05-27 22:23:47 UTC,23,2,2,2,2,2,2,28,657,,,,
2019-05-27 22:24:03 UTC,24,2,2,2,2,2,2,28,587,,,,
2019-05-27 22:24:18 UTC,25,1,3,3,1,3,3,28,612,,,,
2019-05-27 22:24:37 UTC,26,2,3,3,2,3,3,28,729,,,,
2019-05-27 22:24:53 UTC,27,2,3,3,2,3,3,28,719,,,,
2019-05-27 22:25:09 UTC,28,3,3,3,3,3,3,28,762,,,,
2019-05-27 22:25:25 UTC,29,2,3,3,2,3,3,28,637,,,,
2019-05-27 22:25:40 UTC,30,3,4,4,3,4,4,28,554,,,,
2019-05-27 22:25:56 UTC,31,2,4,5,2,4,5,28,653,,,,
2019-05-27 22:26:11 UTC,32,3,4,5,3,4,5,28,651,,,,
2019-05-27 22:26:27 UTC,33,3,4,4,3,4,4,28,599,,,,
2019-05-27 22:26:43 UTC,34,2,3,4,2,3,4,28,718,,,,
2019-05-27 22:26:58 UTC,35,2,3,4,2,3,4,28,644,,,,
2019-05-27 22:27:14 UTC,36,1,2,3,1,2,3,28,544,,,,
2019-05-27 22:27:29 UTC,37,0,1,2,0,1,2,28,322,,,,
2019-05-27 22:27:45 UTC,38,1,2,2,1,2,2,28,488,,,,
2019-05-27 22:28:01 UTC,39,1,2,2,1,2,2,28,518,,,,
2019-05-27 22:28:18 UTC,40,2,3,3,2,3,3,28,653,,,,
2019-05-27 22:28:34 UTC,41,2,3,3,2,3,3,28,634,,,,
2019-05-27 22:28:50 UTC,42,1,2,2,1,2,2,28,543,,,,
2019-05-27 22:29:05 UTC,43,1,2,2,1,2,2,28,517,,,,
2019-05-27 22:29:21 UTC,44,1,3,3,1,3,3,28,655,,,,
2019-05-27 22:29:36 UTC,45,2,2,2,2,2,2,28,686,,,,
2019-05-27 22:29:52 UTC,46,2,3,3,2,3,3,28,611,,,,
2019-05-27 22:30:07 UTC,47,19712,7168,512,768,768,512,66,151,,,,
2019-05-27 22:30:23 UTC,48,19712,7168,512,768,768,512,66,151,,,,
2019-05-27 22:30:39 UTC,49,2,2,2,2,2,2,28,675,,,,
2019-05-27 22:30:54 UTC,50,1,2,2,1,2,2,28,597,,,,
2019-05-27 22:31:10 UTC,51,2,2,2,2,2,2,28,570,,,,
