created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,latitude,longitude,elevation,status
2019-05-27 22:18:01 UTC,1,0,0,0,0,0,0,13,,,,
2019-05-27 22:18:18 UTC,2,141,45,1,1,0,0,500,,,,
2019-05-27 22:18:35 UTC,3,162,54,2,1,0,0,1031,,,,
2019-05-27 22:18:51 UTC,4,315,95,11,1,0,0,1070,,,,
2019-05-27 22:19:07 UTC,5,369,115,14,2,0,0,1085,,,,
2019-05-27 22:19:23 UTC,6,411,134,17,4,1,1,1082,,,,
2019-05-27 22:19:38 UTC,7,357,106,11,0,0,0,1072,,,,
2019-05-27 22:19:54 UTC,8,453,129,18,1,0,0,1087,,,,
2019-05-27 22:20:09 UTC,9,408,118,14,0,0,0,1073,,,,
2019-05-27 22:20:25 UTC,10,435,135,20,1,0,0,1113,,,,
2019-05-27 22:20:40 UTC,11,393,121,16,1,0,0,1090,,,,
2019-05-27 22:20:56 UTC,12,489,147,25,2,0,0,1078,,,,
2019-05-27 22:21:12 UTC,13,414,123,20,2,0,0,1069,,,,
2019-05-27 22:21:27 UTC,14,417,127,9,1,0,0,1085,,,,
2019-05-27 22:21:43 UTC,15,387,123,16,1,0,0,1046,,,,
2019-05-27 22:21:58 UTC,16,342,110,19,1,0,0,1055,,,,
2019-05-27 22:22:14 UTC,17,462,150,18,1,0,0,1096,,,,
2019-05-27 22:22:29 UTC,18,384,121,20,1,0,0,1096,,,,
2019-05-27 22:22:45 UTC,19,438,135,12,0,0,0,1104,,,,
2019-05-27 22:23:00 UTC,20,510,158,20,1,0,0,1068,,,,
2019-05-27 22:23:16 UTC,21,501,159,23,0,0,0,1062,,,,
2019-05-27 22:23:32 UTC,22,423,133,17,2,0,0,1077,,,,
2019-05-27 22:23:47 UTC,23,432,136,10,0,0,0,1080,,,,
2019-05-27 22:24:03 UTC,24,375,124,9,0,0,0,1066,,,,
2019-05-27 22:24:18 UTC,25,381,126,23,1,0,0,1080,,,,
2019-05-27 22:24:37 UTC,26,468,153,25,0,0,0,1033,,,,
2019-05-27 22:24:53 UTC,27,468,148,20,0,0,0,1037,,,,
2019-05-27 22:25:09 UTC,28,501,158,17,1,0,0,1059,,,,
2019-05-27 22:25:25 UTC,29,456,149,15,1,0,0,1071,,,,
2019-05-27 22:25:40 UTC,30,537,160,20,3,0,0,1100,,,,
2019-05-27 22:25:56 UTC,31,618,175,19,6,1,0,1056,,,,
2019-05-27 22:26:11 UTC,32,597,189,21,6,2,0,1065,,,,
2019-05-27 22:26:27 UTC,33,561,178,21,4,1,0,562,,,,
2019-05-27 22:26:43 UTC,34,459,143,27,3,1,0,1070,,,,
2019-05-27 22:26:58 UTC,35,405,127,23,3,1,0,1079,,,,
2019-05-27 22:27:14 UTC,36,336,107,20,1,1,0,1080,,,,
2019-05-27 22:27:29 UTC,37,279,85,11,2,1,0,1077,,,,
2019-05-27 22:27:45 UTC,38,303,97,10,1,0,0,549,,,,
2019-05-27 22:28:01 UTC,39,324,105,11,1,0,0,1078,,,,
2019-05-27 22:28:19 UTC,40,423,130,15,2,0,0,548,,,,
2019-05-27 22:28:34 UTC,41,405,128,17,1,0,0,1102,,,,
2019-05-27 22:28:50 UTC,42,354,107,5,0,0,0,1081,,,,
2019-05-27 22:29:05 UTC,43,327,96,15,2,0,0,1035,,,,
2019-05-27 22:29:21 UTC,44,420,127,25,2,0,0,1105,,,,
2019-05-27 22:29:36 UTC,45,450,141,16,0,0,0,1051,,,,
2019-05-27 22:29:52 UTC,46,387,121,19,1,0,0,1083,,,,
2019-05-27 22:30:07 UTC,47,768,769,35072,32000,6144,512,1079,,,,
2019-05-27 22:30:23 UTC,48,768,769,41216,33792,7168,256,1093,,,,
2019-05-27 22:30:38 UTC,49,453,129,12,2,0,0,1000,,,,
2019-05-27 22:30:54 UTC,50,393,114,12,1,0,0,1057,,,,
2019-05-27 22:31:10 UTC,51,366,115,10,0,0,0,1066,,,,
2019-05-27 22:31:25 UTC,52,381,122,13,1,0,0,1078,,,,
2019-05-27 22:31:43 UTC,53,375,121,24,1,0,0,1069,,,,
2019-05-27 22:31:59 UTC,54,417,134,34,2,1,0,1087,,,,
2019-05-27 22:32:15 UTC,55,477,144,23,2,1,0,1110,,,,
2019-05-27 22:32:30 UTC,56,512,513,42752,34560,3328,0,1094,,,,
2019-05-27 22:32:46 UTC,57,378,124,19,1,0,0,1043,,,,
2019-05-27 22:33:01 UTC,58,420,131,21,1,0,0,1053,,,,
2019-05-27 22:33:17 UTC,59,414,132,25,0,0,0,1104,,,,
2019-05-27 22:33:32 UTC,60,414,126,22,0,0,0,1016,,,,
2019-05-27 22:33:50 UTC,61,489,150,23,1,0,0,1067,,,,
2019-05-27 22:34:06 UTC,62,411,127,22,1,0,0,1097,,,,
2019-05-27 22:34:22 UTC,63,558,174,14,2,1,0,1121,,,,
2019-05-27 22:34:37 UTC,64,504,153,20,1,0,0,994,,,,
2019-05-27 22:34:52 UTC,65,423,128,23,4,0,0,1096,,,,
2019-05-27 22:35:08 UTC,66,420,128,22,1,0,0,531,,,,
2019-05-27 22:35:24 UTC,67,288,90,9,0,0,0,1059,,,,
2019-05-27 22:35:39 UTC,68,309,98,11,0,0,0,1085,,,,
2019-05-27 22:35:57 UTC,69,357,111,5,0,0,0,1079,,,,
2019-05-27 22:36:13 UTC,70,408,126,12,0,0,0,1082,,,,
2019-05-27 22:36:29 UTC,71,462,144,22,2,0,0,1077,,,,
2019-05-27 22:36:44 UTC,72,480,148,27,4,1,0,1096,,,,
2019-05-27 22:37:00 UTC,73,402,118,15,1,1,0,1055,,,,
2019-05-27 22:37:15 UTC,74,420,128,11,1,0,0,1081,,,,
2019-05-27 22:37:31 UTC,75,429,131,11,1,0,0,1098,,,,
2019-05-27 22:37:46 UTC,76,450,135,18,1,0,0,1067,,,,
2019-05-27 22:38:02 UTC,77,441,138,25,3,0,0,1076,,,,
2019-05-27 22:38:17 UTC,78,477,145,21,5,1,0,1126,,,,
2019-05-27 22:38:33 UTC,79,480,143,16,3,2,0,1136,,,,
2019-05-27 22:38:48 UTC,80,354,114,19,4,4,0,1077,,,,
2019-05-27 22:39:04 UTC,81,360,116,17,0,0,0,1078,,,,
2019-05-27 22:39:19 UTC,82,432,136,12,1,0,0,1094,,,,
2019-05-27 22:39:35 UTC,83,426,130,16,1,0,0,1077,,,,
2019-05-27 22:39:51 UTC,84,555,168,26,2,0,0,1083,,,,
2019-05-27 22:40:06 UTC,85,441,138,23,2,0,0,1095,,,,
2019-05-27 22:40:22 UTC,86,396,125,20,1,0,0,545,,,,
2019-05-27 22:40:37 UTC,87,322,19712,7168,512,512,512,1100,,,,
2019-05-27 22:40:53 UTC,88,486,151,66,19712,7168,512,1092,,,,
2019-05-27 22:41:08 UTC,89,420,137,15,4,1,0,1077,,,,
2019-05-27 22:41:24 UTC,90,381,122,17,0,0,0,1083,,,,
2019-05-27 22:41:39 UTC,91,354,112,11,1,1,0,533,,,,
2019-05-27 22:41:55 UTC,92,363,114,11,1,1,0,1084,,,,
2019-05-27 22:42:11 UTC,93,468,142,16,0,0,0,1101,,,,
2019-05-27 22:42:26 UTC,94,522,163,14,0,0,0,1108,,,,
2019-05-27 22:42:42 UTC,95,19712,7168,512,768,768,512,1101,,,,
2019-05-27 22:43:02 UTC,96,372,112,7,1,0,0,975,,,,
2019-05-27 22:43:18 UTC,97,423,137,10,1,66,19712,515,,,,
2019-05-27 22:43:36 UTC,98,369,116,16,0,0,0,1348,,,,
2019-05-27 22:43:52 UTC,99,324,105,15,1,0,0,411,,,,
2019-05-27 22:44:10 UTC,100,447,137,16,2,0,0,1098,,,,
2019-05-27 22:44:25 UTC,101,387,123,23,0,0,0,1016,,,,
2019-05-27 22:44:42 UTC,102,360,114,23,0,0,0,1147,,,,
2019-05-27 22:45:02 UTC,103,396,125,20,1,1,0,1090,,,,
2019-05-27 22:45:17 UTC,104,450,142,16,2,2,0,1100,,,,
2019-05-27 22:45:33 UTC,105,435,139,16,1,1,0,1099,,,,
2019-05-27 22:45:49 UTC,106,369,117,10,0,0,0,498,,,,
2019-05-27 22:46:06 UTC,107,429,136,17,1,0,0,1974,,,,
2019-05-27 22:46:24 UTC,108,321,98,22,1,0,0,1062,,,,
2019-05-27 22:47:03 UTC,109,345,100,7,0,0,0,1046,,,,
2019-05-27 22:47:19 UTC,110,408,128,18,0,0,0,1070,,,,
2019-05-27 22:47:34 UTC,111,423,134,20,0,0,0,669,,,,
2019-05-27 22:47:50 UTC,112,366,112,14,0,0,0,1084,,,,
2019-05-27 22:48:06 UTC,113,390,116,16,0,0,0,1068,,,,
2019-05-27 22:48:21 UTC,114,357,112,15,0,0,0,1067,,,,
2019-05-27 22:48:37 UTC,115,387,112,8,0,0,0,1295,,,,
2019-05-27 22:48:52 UTC,116,429,130,15,1,1,0,1058,,,,
2019-05-27 22:49:08 UTC,117,441,138,24,1,1,0,1092,,,,
2019-05-27 22:49:23 UTC,118,480,149,24,0,0,0,1098,,,,
2019-05-27 22:49:39 UTC,119,432,126,15,0,0,0,1117,,,,
2019-05-27 22:49:54 UTC,120,435,131,19,1,0,0,1052,,,,
2019-05-27 22:50:10 UTC,121,402,125,16,0,0,0,1084,,,,
2019-05-27 22:50:26 UTC,122,417,129,11,2,1,0,1095,,,,
2019-05-27 22:50:41 UTC,123,432,134,15,2,1,0,1084,,,,
2019-05-27 22:50:57 UTC,124,402,128,11,0,0,0,1035,,,,
2019-05-27 22:51:12 UTC,125,372,114,15,0,0,0,1077,,,,
2019-05-27 22:51:28 UTC,126,339,100,15,2,1,0,1017,,,,
2019-05-27 22:51:43 UTC,127,417,129,17,1,1,0,1099,,,,
2019-05-27 22:51:59 UTC,128,402,123,31,0,0,0,1109,,,,
2019-05-27 22:52:14 UTC,129,411,125,27,3,0,0,1073,,,,
2019-05-27 22:52:30 UTC,130,396,117,13,0,0,0,487,,,,
2019-05-27 22:52:45 UTC,131,435,126,12,0,0,0,1058,,,,
2019-05-27 22:53:01 UTC,132,534,156,24,1,0,0,536,,,,
2019-05-27 22:53:17 UTC,133,381,117,19,3,1,0,580,,,,
2019-05-27 22:53:32 UTC,134,324,93,17,3,1,0,1093,,,,
2019-05-27 22:53:49 UTC,135,408,117,9,2,1,0,1090,,,,
2019-05-27 22:54:08 UTC,136,768,768,768,768,768,770,595,,,,
2019-05-27 22:54:24 UTC,137,543,159,19,0,0,0,765,,,,
2019-05-27 22:54:42 UTC,138,393,120,13,1,0,0,1160,,,,
2019-05-27 22:54:58 UTC,139,342,108,15,1,0,0,1072,,,,
2019-05-27 22:55:16 UTC,140,372,115,19,0,0,0,1048,,,,
2019-05-27 22:55:32 UTC,141,444,139,15,1,0,0,916,,,,
2019-05-27 22:55:50 UTC,142,504,157,20,1,1,1,1083,,,,
2019-05-27 22:56:08 UTC,143,486,149,25,1,1,1,1027,,,,
2019-05-27 22:56:23 UTC,144,393,121,16,1,0,0,1061,,,,
2019-05-27 22:56:39 UTC,145,402,126,15,1,0,0,1129,,,,
2019-05-27 22:56:57 UTC,146,381,112,12,2,0,0,1082,,,,
2019-05-27 22:57:12 UTC,147,513,30464,27648,2048,512,0,1073,,,,
2019-05-27 22:57:28 UTC,148,465,145,14,1,0,0,1071,,,,
2019-05-27 22:57:44 UTC,149,453,140,17,1,0,0,1077,,,,
2019-05-27 22:57:59 UTC,150,396,131,17,1,0,0,1052,,,,
2019-05-27 22:58:15 UTC,151,375,125,14,2,1,0,975,,,,
2019-05-27 22:58:30 UTC,152,318,102,9,0,0,0,1078,,,,
2019-05-27 22:58:46 UTC,153,345,106,14,3,0,0,1058,,,,
2019-05-27 22:59:01 UTC,154,360,113,18,3,0,0,1044,,,,
2019-05-27 22:59:17 UTC,155,453,138,9,2,0,0,564,,,,
2019-05-27 22:59:32 UTC,156,513,157,12,2,0,0,1055,,,,
2019-05-27 22:59:49 UTC,157,522,168,27,1,0,0,1240,,,,
2019-05-27 23:00:06 UTC,158,462,144,23,1,1,0,1018,,,,
2019-05-27 23:00:24 UTC,159,357,112,28,1,0,0,424,,,,
2019-05-27 23:00:40 UTC,160,351,104,14,1,1,0,1361,,,,
2019-05-27 23:00:55 UTC,161,474,143,18,2,2,0,572,,,,
2019-05-27 23:01:13 UTC,162,432,134,16,1,1,0,1014,,,,
2019-05-27 23:01:29 UTC,163,396,130,10,0,0,0,1109,,,,
2019-05-27 23:01:45 UTC,164,369,119,17,0,0,0,577,,,,
2019-05-27 23:02:00 UTC,165,300,82,18,1,0,0,1026,,,,
2019-05-27 23:02:16 UTC,166,354,108,25,2,0,0,505,,,,
2019-05-27 23:02:31 UTC,167,336,104,20,2,0,0,587,,,,
2019-05-27 23:02:47 UTC,168,387,118,19,1,0,0,1033,,,,
2019-05-27 23:03:02 UTC,169,351,103,6,1,0,0,1085,,,,
2019-05-27 23:03:18 UTC,170,324,104,66,19712,7168,256,1069,,,,
2019-05-27 23:03:33 UTC,171,426,129,20,1,0,0,1047,,,,
2019-05-27 23:03:49 UTC,172,438,131,20,2,0,0,1080,,,,
2019-05-27 23:04:05 UTC,173,390,120,10,1,0,0,1100,,,,
2019-05-27 23:04:20 UTC,174,345,108,9,1,0,0,1065,,,,
2019-05-27 23:04:36 UTC,175,276,87,15,2,0,0,527,,,,
2019-05-27 23:04:51 UTC,176,303,95,17,2,0,0,1081,,,,
2019-05-27 23:05:07 UTC,177,512,256,512,513,12800,24320,1079,,,,
